name,industry_id
"Secondary copper for treatment, Re-processing of secondary copper into new copper",SECO7
"Secondary glass for treatment, Re-processing of secondary glass into new glass",SECO2
"Secondary lead for treatment, Re-processing of secondary lead into new lead",SECO6
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",SECO8
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",SECON
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",SECO1
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",SECO4
Secondary raw materials,SECO9
"Secondary steel for treatment, Re-processing of secondary steel into new steel",SECO3
Services auxiliary to financial intermediation (67),SERVI
Sewage sludge for treatment: biogasification and land application,SEWAG
Steam and hot water supply services,STEAM
Stone,STONE
Sub-Bituminous Coal,SUBBI
Sugar,SUGA1
"Sugar cane, sugar beet",SUGAR
Supporting and auxiliary transport services; travel agency services (63),SUPPO
Textiles (17),TEXTI
Textiles waste for treatment: incineration,TEXT1
Textiles waste for treatment: landfill,TEXT2
Tobacco products (16),TOBAC
Transmission services of electricity,TRANS
Transportation services via pipelines,TRAN1
Uranium and thorium ores (12),URANI
"Vegetables, fruit, nuts",VEGET
Wearing apparel; furs (18),WEARI
Wheat,WHEAT
White Spirit & SBP,WHITE
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLE
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),WOODA
"Wood material for treatment, Re-processing of secondary wood material into new wood material",WOODM
Wood waste for treatment: incineration,WOODW
Wood waste for treatment: landfill,WOOD1
"Wool, silk-worm cocoons",WOOLS
products of Vegetable oils and fats,PROD4
